Sub_Dept,Work_Date,Shift_Name,Dock_Name,Door_Name,BOL_Number,Live_Load,Hot_Load,Drive_Off,No_Appointment,Appointment_ID,Appointment_Time,Gate_In_Time,Receiver_Check_In_Time,Received_Time,Docked_Time,Work_Start_Time,Work_End_Time,Total_Time_In_Minutes,Driver_Called_Time,Bills_To_Driver_Time,Gate_Out_Time,Total_Load_Delay_Min,Trailer_Type_Name,Carrier_Name,Trailer_Number,Main_PO_Number,Main_Vendor_Name,Main_Vendor_Number,Main_Product_Name,Load_Type_Name,Bill_Code_Name,Unload_Type_Name,Bill_Rate_Name,Total_Case_Count,Total_Pallet_White_In_Count,Total_Pallet_Chep_In_Count,Total_Pallet_Peco_In_Count,Total_Pallet_IGps_In_Count,Total_Totes_In_Count,Total_Pallet_In_Count,Total_Pallet_Finished_Count,Total_Pallet_Created_Count,Total_Item_Count,Total_Tray_Count,Total_Layer_Count,Total_PO_Weight,Total_Cube,Service_Hours,Adjustment_Amount,Adjustment_Reason,Total_Load_Cost,Total_Payment,Cash_Amount,Check_Amount,Relay_Amount,Auto_Pay_Amount,Capstone_Pay_Amount,Fleet_Friend_Amount,Convenience_Fee,Handling_Fee,Check_Number,Credit_Amount,Credit_Auth_Number,Debit_Amount,Debit_Auth_Number,Total_COD_Amount,BillTo_Amount,Receipt_Number,Receipt_Printed,Override_User_Name,Override_Time,Override_Reason,Created_Device_ID,Created_By,Created_Date,Modified_Device_ID,Modified_By,Modified_Date
27,02/04/2025,,FROZEN,129F,,1,0,0,0,5662562,02/04/2025 15:00,,,02/04/2025 13:17,,02/04/2025 13:19,02/04/2025 13:30,11,,02/04/2025 13:31,,0,,KC TRANSPORT,V8655,301723,CONECUH SAUSAGE COMPANY,10724,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK135_30027,200,1,0,0,0,0,1,6,5,0,0,0,2700,0,0,,,170,170,0,0,0,0,170,0,10,0,,0,,0,,0,0,33d17963-d6fe-4e49-bbbf-38162408e2bc,1,,,,2924,april.parlier,02/04/2025 13:21,0,april.parlier,02/04/2025 13:27
27,02/04/2025,,PERISHABLE,202M,,1,0,0,0,5661515,02/04/2025 11:00,,,02/04/2025 12:55,,02/04/2025 12:59,02/04/2025 13:10,11,,02/04/2025 13:24,,0,,BALTER MEAT,V28620,302464,BALTER MEAT COMPANY,11164,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK160_30027,350,13,0,0,0,0,13,14,1,0,0,0,28700,0,0,,,175,175,0,0,0,0,175,0,10,0,,0,,0,,0,0,af5f471f-93c1-42f0-bb94-eddda902922d,1,,,,2924,april.parlier,02/04/2025 13:02,0,april.parlier,02/04/2025 13:24
27,02/04/2025,,PERISHABLE,228P,,1,0,0,0,5672057,02/04/2025 12:00,,,02/04/2025 12:54,,02/04/2025 12:55,02/04/2025 13:06,11,,02/04/2025 13:24,,0,,COLINES,V2262,10056701,TOPCO,0,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK135_30027,756,6,0,0,0,0,6,7,1,0,0,0,4224,0,0,,,150,150,0,0,0,0,150,0,10,0,,0,,0,,0,0,3fc9f709-f038-495b-a3a5-6ca6b8427dee,1,,,,2924,april.parlier,02/04/2025 13:01,0,april.parlier,02/04/2025 13:24
27,02/04/2025,,DRY,402D,,0,0,0,0,,,,,02/04/2025 12:39,,02/04/2025 12:40,02/04/2025 12:51,11,,,,0,,UPS/FEDEX,1,40060326,UPSFEDEX,0,,Logistics,27RMDICON,BRK DOWN,LOGUPS033_30027,9,1,0,0,0,0,1,7,6,0,0,0,0,0,0,,,2.97,2.97,0,0,0,0,0,0,0,0,,0,,0,,0,2.97,95cc5d02-98dd-40de-a1aa-bdf1cc132515,0,,,,2924,73558,02/04/2025 13:17,0,73558,02/04/2025 13:18
27,02/04/2025,,PERISHABLE,230P,,0,0,0,0,5672030,02/04/2025 17:00,,,02/04/2025 12:17,,02/04/2025 12:20,02/04/2025 13:07,47,,,,0,,MDI BACKHAUL,3T1507,10056505,NATURE'S FLOWERS,60265,,BKHL,27RMDIBKH,BRK DOWN,LOGCODEBBRK61_30027,669,20,0,0,0,0,20,26,6,0,0,0,10129,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,bdaa813f-7e3d-4e23-a598-d478428293c7,0,,,,2924,april.parlier,02/04/2025 12:22,0,april.parlier,02/04/2025 13:08
27,02/04/2025,,FROZEN,125F,,0,0,0,0,5661279,02/03/2025 22:00,,,02/04/2025 12:16,,02/04/2025 12:38,02/04/2025 13:16,38,,,,0,,OZARK MOTOR LINES INC,OZR10249,302389,LEWIS BAKERIES,0,,Logistics,27RMDICON,BRK DOWN,LOGCODECBRK92_30027,3326,30,0,0,0,0,30,68,38,0,0,0,22272,0,0,,,92.5,92.5,0,0,0,0,0,0,0,0,,0,,0,,0,92.5,526563a0-0d6f-4972-adf1-e65975d8f89a,0,,,,2924,april.parlier,02/04/2025 12:42,0,april.parlier,02/04/2025 13:16
27,02/04/2025,,PERISHABLE,233P,,0,0,0,0,5658657,02/04/2025 18:00,,,02/04/2025 12:15,,02/04/2025 12:38,02/04/2025 12:59,21,,,,0,,MARTEN TRANSPORT LTD,V24754,16550025,MINUTE MAID COMPANY,0,,Logistics,27RMDICON,ROLL OFF,LOGCODEAROFF25_30027,1201,16,0,0,0,0,16,16,0,0,0,0,38134,0,0,,,25,25,0,0,0,0,0,0,0,0,,0,,0,,0,25,5d58e83b-de28-410e-ae1e-ff8947b52187,0,,,,2924,april.parlier,02/04/2025 12:42,0,april.parlier,02/04/2025 13:00
27,02/04/2025,,PERISHABLE,241B,,1,0,0,0,5674452,02/04/2025 09:00,,,02/04/2025 12:06,,02/04/2025 12:07,02/04/2025 12:18,11,,02/04/2025 12:33,,0,,TOBIAS FARMS,V22104,10056753,AAA PRODUCE EXCHANGE,63831,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK160_30027,800,21,0,0,0,0,21,22,1,0,0,0,40760,0,0,60,Static-Negotiated Rate,235,235,0,0,0,0,235,0,10,0,,0,,0,,0,0,58094698-7d24-4170-ba99-68f1a86e2c4b,1,,,,2924,april.parlier,02/04/2025 12:27,0,april.parlier,02/04/2025 12:32
27,02/04/2025,,DRY,401D,,0,0,0,0,,,,,02/04/2025 12:00,,02/04/2025 12:01,02/04/2025 12:12,11,,,,0,,CARGO,279838,40067330,PACIFIC COAST PRODUCERS,70276,,Logistics,27RMDICON,BRK DOWN,LOGCODEBBRK61_30027,200,19,0,0,0,0,19,22,3,0,0,0,0,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,5576df7f-41ad-4238-9ccf-104b8e40f281,0,,,,2924,april.parlier,02/04/2025 12:58,0,april.parlier,02/04/2025 12:58
27,02/04/2025,,PERISHABLE,206M,,1,0,0,0,5659078,02/04/2025 12:00,,,02/04/2025 11:50,,02/04/2025 11:52,02/04/2025 12:03,11,,02/04/2025 13:24,,0,,FFE TRANSPORTATION SERVICES INC,V774177,302038,HANS KISSLE LLC,13255,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK160_30027,440,17,0,0,0,0,17,29,12,0,0,0,3090,0,0,,,230,230,0,0,0,0,230,0,10,0,,0,,0,,0,0,6bb50a73-ee9d-4835-a1b4-e31fe55c326f,1,,,,2924,april.parlier,02/04/2025 12:24,0,april.parlier,02/04/2025 13:24
